,time,status,note,velocity,player,section,length,y,side
0,1, Note_on_c,65,74,1,1,1,76.0,True
1,2, Note_on_c,70,74,1,1,1,81.0,False
2,2, Note_on_c,73,74,1,1,1,85.0,False
3,3, Note_on_c,72,74,1,1,1,84.0,True
4,3, Note_on_c,75,74,1,1,1,87.0,False
5,4, Note_on_c,70,74,1,1,1,81.0,False
6,4, Note_on_c,73,74,1,1,1,85.0,False
7,5, Note_on_c,72,74,1,1,1,84.0,True
8,5, Note_on_c,77,74,1,1,1,90.0,True
9,6, Note_on_c,65,74,1,1,1,76.0,True
10,7, Note_on_c,70,74,1,1,1,81.0,False
11,7, Note_on_c,73,74,1,1,1,85.0,False
12,8, Note_on_c,72,74,1,1,1,84.0,True
13,8, Note_on_c,75,74,1,1,1,87.0,False
14,9, Note_on_c,65,74,1,1,1,76.0,True
15,10, Note_on_c,70,74,1,1,1,81.0,False
16,10, Note_on_c,73,74,1,1,1,85.0,False
17,11, Note_on_c,72,74,1,1,1,84.0,True
18,11, Note_on_c,75,74,1,1,1,87.0,False
19,12, Note_on_c,70,74,1,1,1,81.0,False
20,12, Note_on_c,73,74,1,1,1,85.0,False
21,13, Note_on_c,72,74,1,1,1,84.0,True
22,13, Note_on_c,77,74,1,1,1,90.0,True
23,14, Note_on_c,65,74,1,1,1,76.0,True
24,15, Note_on_c,70,74,1,1,1,81.0,False
25,15, Note_on_c,73,74,1,1,1,85.0,False
26,16, Note_on_c,72,74,1,1,1,84.0,True
27,16, Note_on_c,75,74,1,1,1,87.0,False
28,17, Note_on_c,65,74,1,1,1,76.0,True
29,18, Note_on_c,70,74,1,1,1,81.0,False
30,18, Note_on_c,73,74,1,1,1,85.0,False
31,19, Note_on_c,72,74,1,1,1,84.0,True
32,19, Note_on_c,75,74,1,1,1,87.0,False
33,20, Note_on_c,70,74,1,1,1,81.0,False
34,20, Note_on_c,73,74,1,1,1,85.0,False
35,21, Note_on_c,72,74,1,1,1,84.0,True
36,21, Note_on_c,77,74,1,1,1,90.0,True
37,22, Note_on_c,65,74,1,1,1,76.0,True
38,23, Note_on_c,70,74,1,1,1,81.0,False
39,23, Note_on_c,73,74,1,1,1,85.0,False
40,24, Note_on_c,72,74,1,1,1,84.0,True
41,24, Note_on_c,75,74,1,1,1,87.0,False
42,25, Note_on_c,65,74,1,1,1,76.0,True
43,26, Note_on_c,70,74,1,1,1,81.0,False
44,26, Note_on_c,73,74,1,1,1,85.0,False
45,27, Note_on_c,72,74,1,1,1,84.0,True
46,27, Note_on_c,75,74,1,1,1,87.0,False
47,28, Note_on_c,70,74,1,1,1,81.0,False
48,28, Note_on_c,73,74,1,1,1,85.0,False
49,29, Note_on_c,72,74,1,1,1,84.0,True
50,29, Note_on_c,77,74,1,1,1,90.0,True
51,30, Note_on_c,65,74,1,1,1,76.0,True
52,31, Note_on_c,70,74,1,1,1,81.0,False
53,31, Note_on_c,73,74,1,1,1,85.0,False
54,32, Note_on_c,72,74,1,1,1,84.0,True
55,32, Note_on_c,75,74,1,1,1,87.0,False
56,33, Note_on_c,65,74,1,1,1,76.0,True
57,34, Note_on_c,70,74,1,1,1,81.0,False
58,34, Note_on_c,73,74,1,1,1,85.0,False
59,35, Note_on_c,72,74,1,1,1,84.0,True
60,35, Note_on_c,75,74,1,1,1,87.0,False
61,36, Note_on_c,70,74,1,1,1,81.0,False
62,36, Note_on_c,73,74,1,1,1,85.0,False
63,37, Note_on_c,72,74,1,1,1,84.0,True
64,37, Note_on_c,77,74,1,1,1,90.0,True
65,38, Note_on_c,65,74,1,1,1,76.0,True
66,39, Note_on_c,70,74,1,1,1,81.0,False
67,39, Note_on_c,73,74,1,1,1,85.0,False
68,40, Note_on_c,72,74,1,1,1,84.0,True
69,40, Note_on_c,75,74,1,1,1,87.0,False
70,41, Note_on_c,65,74,1,1,1,76.0,True
71,42, Note_on_c,70,74,1,1,1,81.0,False
72,42, Note_on_c,73,74,1,1,1,85.0,False
73,43, Note_on_c,72,74,1,1,1,84.0,True
74,43, Note_on_c,75,74,1,1,1,87.0,False
75,44, Note_on_c,70,74,1,1,1,81.0,False
76,44, Note_on_c,73,74,1,1,1,85.0,False
77,45, Note_on_c,72,74,1,1,1,84.0,True
78,45, Note_on_c,77,74,1,1,1,90.0,True
79,46, Note_on_c,65,74,1,1,1,76.0,True
80,47, Note_on_c,70,74,1,1,1,81.0,False
81,47, Note_on_c,73,74,1,1,1,85.0,False
82,48, Note_on_c,72,74,1,1,1,84.0,True
83,48, Note_on_c,75,74,1,1,1,87.0,False
84,49, Note_on_c,65,74,1,1,1,76.0,True
85,50, Note_on_c,70,74,1,1,1,81.0,False
86,50, Note_on_c,73,74,1,1,1,85.0,False
87,51, Note_on_c,72,74,1,1,1,84.0,True
88,51, Note_on_c,75,74,1,1,1,87.0,False
89,52, Note_on_c,70,74,1,1,1,81.0,False
90,52, Note_on_c,73,74,1,1,1,85.0,False
91,53, Note_on_c,72,74,1,1,1,84.0,True
92,53, Note_on_c,77,74,1,1,1,90.0,True
93,54, Note_on_c,65,74,1,1,1,76.0,True
94,55, Note_on_c,70,74,1,1,1,81.0,False
95,55, Note_on_c,73,74,1,1,1,85.0,False
96,56, Note_on_c,72,74,1,1,1,84.0,True
97,56, Note_on_c,75,74,1,1,1,87.0,False
98,57, Note_on_c,65,74,1,1,1,76.0,True
99,58, Note_on_c,70,74,1,1,1,81.0,False
100,58, Note_on_c,73,74,1,1,1,85.0,False
101,59, Note_on_c,72,74,1,1,1,84.0,True
102,59, Note_on_c,75,74,1,1,1,87.0,False
103,60, Note_on_c,70,74,1,1,1,81.0,False
104,60, Note_on_c,73,74,1,1,1,85.0,False
105,61, Note_on_c,72,74,1,1,1,84.0,True
106,61, Note_on_c,77,74,1,1,1,90.0,True
107,62, Note_on_c,65,74,1,1,1,76.0,True
108,63, Note_on_c,70,74,1,1,1,81.0,False
109,63, Note_on_c,73,74,1,1,1,85.0,False
110,64, Note_on_c,72,74,1,1,1,84.0,True
111,64, Note_on_c,75,74,1,1,1,87.0,False
112,65, Note_on_c,65,74,1,1,1,76.0,True
113,66, Note_on_c,70,74,1,1,1,81.0,False
114,66, Note_on_c,73,74,1,1,1,85.0,False
115,67, Note_on_c,72,74,1,1,1,84.0,True
116,67, Note_on_c,75,74,1,1,1,87.0,False
117,68, Note_on_c,70,74,1,1,1,81.0,False
118,68, Note_on_c,73,74,1,1,1,85.0,False
119,69, Note_on_c,72,74,1,1,1,84.0,True
120,69, Note_on_c,77,74,1,1,1,90.0,True
121,70, Note_on_c,65,74,1,1,1,76.0,True
122,71, Note_on_c,70,74,1,1,1,81.0,False
123,71, Note_on_c,73,74,1,1,1,85.0,False
124,72, Note_on_c,72,74,1,1,1,84.0,True
125,72, Note_on_c,75,74,1,1,1,87.0,False
126,73, Note_on_c,65,74,1,1,1,76.0,True
127,74, Note_on_c,70,74,1,1,1,81.0,False
128,74, Note_on_c,73,74,1,1,1,85.0,False
129,75, Note_on_c,72,74,1,1,1,84.0,True
130,75, Note_on_c,75,74,1,1,1,87.0,False
131,76, Note_on_c,70,74,1,1,1,81.0,False
132,76, Note_on_c,73,74,1,1,1,85.0,False
133,77, Note_on_c,72,74,1,1,1,84.0,True
134,77, Note_on_c,77,74,1,1,1,90.0,True
135,78, Note_on_c,65,74,1,1,1,76.0,True
136,79, Note_on_c,70,74,1,1,1,81.0,False
137,79, Note_on_c,73,74,1,1,1,85.0,False
138,80, Note_on_c,72,74,1,1,1,84.0,True
139,80, Note_on_c,75,74,1,1,1,87.0,False
140,81, Note_on_c,65,74,1,1,1,76.0,True
141,82, Note_on_c,70,74,1,1,1,81.0,False
142,82, Note_on_c,73,74,1,1,1,85.0,False
143,83, Note_on_c,72,74,1,1,1,84.0,True
144,83, Note_on_c,75,74,1,1,1,87.0,False
145,84, Note_on_c,70,74,1,1,1,81.0,False
146,84, Note_on_c,73,74,1,1,1,85.0,False
147,85, Note_on_c,72,74,1,1,1,84.0,True
148,85, Note_on_c,77,74,1,1,1,90.0,True
149,86, Note_on_c,65,74,1,1,1,76.0,True
150,87, Note_on_c,70,74,1,1,1,81.0,False
151,87, Note_on_c,73,74,1,1,1,85.0,False
152,88, Note_on_c,72,74,1,1,1,84.0,True
153,88, Note_on_c,75,74,1,1,1,87.0,False
154,89, Note_on_c,65,74,1,1,1,76.0,True
155,90, Note_on_c,70,74,1,1,1,81.0,False
156,90, Note_on_c,73,74,1,1,1,85.0,False
157,91, Note_on_c,72,74,1,1,1,84.0,True
158,91, Note_on_c,75,74,1,1,1,87.0,False
159,92, Note_on_c,70,74,1,1,1,81.0,False
160,92, Note_on_c,73,74,1,1,1,85.0,False
161,93, Note_on_c,72,74,1,1,1,84.0,True
162,93, Note_on_c,77,74,1,1,1,90.0,True
